Question,Gold Standard Entities,Gold Standard Relations,FALCON_Entities,P_E,R_E,FALCON_Relations,P_R,R_R
List all boardgames by GMT.,['http://dbpedia.org/resource/GMT_Games'],['http://dbpedia.org/ontology/publisher'],"['http://dbpedia.org/resource/Generic_Mapping_Tools', 'http://dbpedia.org/resource/Belarus']",0.0,0.0,[],0,0.0
Who developed Skype?,['http://dbpedia.org/resource/Skype'],['http://dbpedia.org/ontology/developer'],['http://dbpedia.org/resource/Skype'],1.0,1.0,['http://dbpedia.org/ontology/developer'],1.0,1.0
Which people were born in Heraklion?,['http://dbpedia.org/resource/Heraklion'],[],['http://dbpedia.org/resource/Heraklion'],1.0,1.0,['http://dbpedia.org/ontology/birthPlace'],0,0
In which U.S. state is Area 51 located?,"['http://dbpedia.org/resource/Area_51', 'http://dbpedia.org/resource/United_States.']","['http://dbpedia.org/ontology/location', 'http://dbpedia.org/ontology/country']","['http://dbpedia.org/resource/United_States', 'http://dbpedia.org/resource/Area_51']",0.5,0.5,['http://dbpedia.org/ontology/gross'],0.0,0.0
Who is the mayor of New York City?,['http://dbpedia.org/resource/New_York_City'],['http://dbpedia.org/ontology/leaderName'],['http://dbpedia.org/resource/New_York_City'],1.0,1.0,['http://dbpedia.org/ontology/mayor'],0.0,0.0
Which countries have places with more than two caves?,[],[],"['http://dbpedia.org/resource/Countries_of_the_United_Kingdom', 'http://dbpedia.org/resource/Caves_of_Aggtelek_Karst_and_Slovak_Karst']",0,0,['http://dbpedia.org/ontology/place'],0,0
Where did Abraham Lincoln die?,['http://dbpedia.org/resource/Abraham_Lincoln'],['http://dbpedia.org/ontology/deathPlace'],['http://dbpedia.org/resource/Abraham_Lincoln'],1.0,1.0,['http://dbpedia.org/ontology/deathDate'],0.0,0.0
Which airports does Air China serve?,['http://dbpedia.org/resource/Air_China'],['http://dbpedia.org/ontology/targetAirport'],['http://dbpedia.org/resource/Air_China'],1.0,1.0,"['http://dbpedia.org/ontology/hubAirport', 'http://dbpedia.org/property/row']",0.0,0.0
Give me all actors starring in movies directed by and starring William Shatner.,"['http://dbpedia.org/resource/William_Shatner', 'http://dbpedia.org/resource/William_Shatner']",['http://dbpedia.org/ontology/director'],['http://dbpedia.org/resource/William_Shatner'],1.0,0.5,"['http://dbpedia.org/ontology/artist', 'http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/film', 'http://dbpedia.org/property/directedby', 'http://dbpedia.org/ontology/starring']",0.0,0.0
What are the official languages of the Philippines?,['http://dbpedia.org/resource/Philippines'],['http://dbpedia.org/ontology/officialLanguage'],['http://dbpedia.org/resource/Philippines'],1.0,1.0,['http://dbpedia.org/ontology/officialLanguage'],1.0,1.0
Give me all Danish films.,['http://dbpedia.org/resource/Denmark'],[],"['http://dbpedia.org/resource/Denmark', 'http://dbpedia.org/resource/List_of_Danish_films']",0.5,1.0,['http://dbpedia.org/ontology/country'],0,0
Which movies starring Brad Pitt were directed by Guy Ritchie?,"['http://dbpedia.org/resource/Brad_Pitt', 'http://dbpedia.org/resource/Guy_Ritchie']",[],"['http://dbpedia.org/resource/Brad_Pitt', 'http://dbpedia.org/resource/Guy_Ritchie']",1.0,1.0,"['http://dbpedia.org/ontology/film', 'http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/president']",0,0
Give me the grandchildren of Bruce Lee.,['http://dbpedia.org/resource/Bruce_Lee'],"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/property/children']",['http://dbpedia.org/resource/Bruce_Lee'],1.0,1.0,['http://dbpedia.org/ontology/child'],1.0,0.5
Which other weapons did the designer of the Uzi develop?,"['http://dbpedia.org/resource/Uzi', 'http://dbpedia.org/resource/Uzi']",[],['http://dbpedia.org/resource/Uzi'],1.0,0.5,"['http://dbpedia.org/property/weapons', 'http://dbpedia.org/ontology/designer', 'http://dbpedia.org/ontology/result']",0,0
Who is the owner of Universal Studios?,['http://dbpedia.org/resource/Universal_Studios'],['http://dbpedia.org/ontology/owner'],['http://dbpedia.org/resource/Universal_Studios'],1.0,1.0,['http://dbpedia.org/property/owner'],1.0,1.0
Which state of the USA has the highest population density?,[],[],"['http://dbpedia.org/resource/Usa_District,_Ōita', 'http://dbpedia.org/resource/Population_density']",0,0,[],1,1
Which monarchs were married to a German?,"['http://dbpedia.org/resource/Germany', 'http://dbpedia.org/resource/Germany']",['http://dbpedia.org/ontology/country'],"['http://dbpedia.org/resource/Germany', 'http://dbpedia.org/resource/German']",0.5,0.5,"['http://dbpedia.org/ontology/leader', 'http://dbpedia.org/ontology/spouse', 'http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/country']",0.25,1.0
Which organizations were founded in 1950?,[],[],['http://dbpedia.org/resource/1950'],0,0,"['http://dbpedia.org/ontology/company', 'http://dbpedia.org/ontology/author']",0,0
Who created the comic Captain America?,['http://dbpedia.org/resource/Captain_America'],['http://dbpedia.org/ontology/creator'],['http://dbpedia.org/resource/Captain_Comic'],0.0,0.0,['http://dbpedia.org/ontology/creator'],1.0,1.0
Give me the Apollo 14 astronauts.,['http://dbpedia.org/resource/Apollo_14'],['http://dbpedia.org/ontology/mission'],['http://dbpedia.org/resource/Apollo_14'],1.0,1.0,[],0,0.0
Who wrote the book The pillars of the Earth?,['http://dbpedia.org/resource/The_Pillars_of_the_Earth'],['http://dbpedia.org/ontology/author'],['http://dbpedia.org/resource/The_Pillars_of_the_Earth'],1.0,1.0,['http://dbpedia.org/ontology/author'],1.0,1.0
Which state of the United States of America has the highest density?,[],['http://dbpedia.org/property/densityrank'],['http://dbpedia.org/resource/United_States'],0,0,['http://dbpedia.org/ontology/populationDensity'],0.0,0.0
Which spaceflights were launched from Baikonur?,['http://dbpedia.org/resource/Baikonur_Cosmodrome'],['http://dbpedia.org/property/launchPad'],['http://dbpedia.org/resource/Baikonur_Cosmodrome_Site_110'],0.0,0.0,"['http://dbpedia.org/ontology/countryWithFirstSpaceflight', 'http://dbpedia.org/ontology/totalLaunches']",0.0,0.0
Give me a list of all trumpet players that were bandleaders.,"['http://dbpedia.org/resource/Bandleader', 'http://dbpedia.org/resource/Trumpet']",['http://dbpedia.org/ontology/occupation'],"['http://dbpedia.org/resource/Trumpet', 'http://dbpedia.org/resource/List_of_American_big_band_bandleaders']",0.5,0.5,[],0,0.0
Which U.S. states are in the same timezone as Utah?,"['http://dbpedia.org/resource/Utah', 'http://dbpedia.org/resource/Utah']",['http://dbpedia.org/property/timezone'],"['http://dbpedia.org/resource/Usk,_Washington', 'http://dbpedia.org/resource/Utah']",0.5,0.5,['http://dbpedia.org/ontology/timeZone'],0.0,0.0
Which U.S. states possess gold minerals?,[],[],['http://dbpedia.org/resource/United_States'],0,0,"['http://dbpedia.org/ontology/owner', 'http://dbpedia.org/ontology/champion']",0,0
Who is the daughter of Ingrid Bergman married to?,['http://dbpedia.org/resource/Ingrid_Bergman'],"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/property/spouse']",['http://dbpedia.org/resource/Ingrid_Bergman'],1.0,1.0,"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/property/spouse']",1.0,1.0
