When was the Battle of Gettysburg?,['http://dbpedia.org/ontology/date'],['http://dbpedia.org/resource/Battle_of_Gettysburg'],['http://dbpedia.org/property/date'],1,1,['http://dbpedia.org/resource/Battle_of_Gettysburg'],1,1
List all the musicals with music by Elton John.,['http://dbpedia.org/ontology/musicBy'],['http://dbpedia.org/resource/Elton_John'],"['http://dbpedia.org/property/musicals', 'http://dbpedia.org/ontology/musicalBand']",0,0,['http://dbpedia.org/resource/Elton_John'],1,1
How high is the lighthouse in Colombo?,['http://dbpedia.org/ontology/height'],['http://dbpedia.org/resource/Colombo_Lighthouse'],['http://dbpedia.org/ontology/height'],1,1,['http://dbpedia.org/resource/Colombo_Lighthouse'],1,1
Who was the wife of U.S. president Lincoln?,['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Abraham_Lincoln'],['http://dbpedia.org/ontology/spouse'],1,1,['http://dbpedia.org/resource/Abraham_Lincoln'],1,1
Who is the host of the BBC Wildlife Specials?,['http://dbpedia.org/ontology/presenter'],['http://dbpedia.org/resource/BBC_Wildlife_Specials'],['http://dbpedia.org/ontology/presenter'],1,1,"['http://dbpedia.org/resource/BBC', 'http://dbpedia.org/resource/BBC_Wildlife_Specials']",0.5,1
How much did Pulp Fiction cost?,['http://dbpedia.org/ontology/budget'],['http://dbpedia.org/resource/Pulp_Fiction'],['http://dbpedia.org/ontology/budget'],1,1,['http://dbpedia.org/resource/Pulp_Fiction'],1,1
In what city is the Heineken brewery?,"['http://dbpedia.org/ontology/manufacturer', 'http://dbpedia.org/ontology/locationCity']",['http://dbpedia.org/resource/Heineken'],['http://dbpedia.org/ontology/city'],0,0,['http://dbpedia.org/resource/Rosmalen_Grass_Court_Championships'],0,0
When did Operation Overlord commence?,['http://dbpedia.org/ontology/date'],['http://dbpedia.org/resource/Operation_Overlord'],['http://dbpedia.org/ontology/date'],1,1,['http://dbpedia.org/resource/Operation_Overlord'],1,1
In which city does the Chile Route 68 end?,['http://dbpedia.org/ontology/routeEnd'],['http://dbpedia.org/resource/Chile_Route_68'],['http://dbpedia.org/ontology/city'],0,0,['http://dbpedia.org/resource/Chile_Route_68'],1,1
Who developed Slack?,['http://dbpedia.org/ontology/product'],['http://dbpedia.org/resource/Slack_(software)'],['http://dbpedia.org/ontology/developer'],1,1,['http://dbpedia.org/resource/Slack'],0,0
Who was married to president Chirac?,['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Jacques_Chirac'],['http://dbpedia.org/ontology/spouse'],1,1,['http://dbpedia.org/resource/Jacques_Chirac'],1,1
What did Bruce Carver die from?,['http://dbpedia.org/ontology/deathCause'],['http://dbpedia.org/resource/Bruce_Carver'],['http://dbpedia.org/ontology/deathCause'],1,1,['http://dbpedia.org/resource/Bruce_Carver'],1,1
Who painted The Storm on the Sea of Galilee?,['http://dbpedia.org/property/artist'],['http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee'],['http://dbpedia.org/property/artist'],1,1,['http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee'],1,1
Which cities does the Weser flow through?,['http://dbpedia.org/ontology/city'],['http://dbpedia.org/resource/Weser'],"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/discharge']",0,0,['http://dbpedia.org/resource/Weser'],1,1
How many seats does the home stadium of FC Porto have?,"['http://dbpedia.org/ontology/ground', 'http://dbpedia.org/ontology/seatingCapacity']",['http://dbpedia.org/resource/FC_Porto'],"['http://dbpedia.org/property/seat', 'http://dbpedia.org/ontology/ground']",0.5,0.5,['http://dbpedia.org/resource/FC_Porto'],1,1
Who is the daughter of Robert Kennedy married to?,"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/ontology/spouse']",['http://dbpedia.org/resource/Robert_F._Kennedy'],"['http://dbpedia.org/ontology/child', 'http://dbpedia.org/property/spouse']",1,1,['http://dbpedia.org/resource/Robert_F._Kennedy'],1,1
Which books by Kerouac were published by Viking Press?,"['http://dbpedia.org/ontology/publisher', 'http://dbpedia.org/ontology/author']","['http://dbpedia.org/resource/Viking_Press', 'http://dbpedia.org/resource/Jack_Kerouac']","['http://dbpedia.org/ontology/title', 'http://dbpedia.org/ontology/publisher']",0.5,0.5,"['http://dbpedia.org/resource/Jack_Kerouac', 'http://dbpedia.org/resource/Viking_Press']",1,1
How tall is Amazon Eve?,['http://dbpedia.org/ontology/height'],['http://dbpedia.org/resource/Amazon_Eve'],['http://dbpedia.org/ontology/height'],1,1,['http://dbpedia.org/resource/Amazon_Eve'],1,1
Which museum exhibits The Scream by Munch?,['http://dbpedia.org/ontology/museum'],['http://dbpedia.org/resource/The_Scream'],"['http://dbpedia.org/ontology/museum', 'http://dbpedia.org/ontology/sport']",0.5,1,['http://dbpedia.org/resource/The_Scream'],1,1
Who wrote the book Les Piliers de la terre?,['http://dbpedia.org/ontology/author'],['http://dbpedia.org/resource/The_Pillars_of_the_Earth'],['http://dbpedia.org/ontology/author'],1,1,['http://dbpedia.org/resource/La_Terre'],0,0
Is James Bond married?,['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/James_Bond'],['http://dbpedia.org/ontology/spouse'],1,1,['http://dbpedia.org/resource/James_Bond'],1,1
Who discovered Ceres?,['http://dbpedia.org/ontology/discoverer'],['http://dbpedia.org/resource/Ceres_(dwarf_planet)'],['http://dbpedia.org/ontology/discoverer'],1,1,['http://dbpedia.org/resource/Ceres_(dwarf_planet)'],1,1
Which river does the Brooklyn Bridge cross?,['http://dbpedia.org/ontology/crosses'],['http://dbpedia.org/resource/Brooklyn_Bridge'],"['http://dbpedia.org/ontology/river', 'http://dbpedia.org/ontology/crosses']",0.5,1,['http://dbpedia.org/resource/Brooklyn_Bridge'],1,1
Who was called Frank The Tank?,['http://dbpedia.org/property/nickname'],[],['http://dbpedia.org/ontology/company'],0,0,['http://dbpedia.org/resource/Beyond_the_Tank'],0,0
What is the largest country in the world?,['http://dbpedia.org/ontology/areaTotal'],[],['http://dbpedia.org/ontology/areaTotal'],1,1,[],0,0
Who is the mayor of Paris?,['http://dbpedia.org/ontology/mayor'],['http://dbpedia.org/resource/Paris'],['http://dbpedia.org/ontology/mayor'],1,1,['http://dbpedia.org/resource/Paris'],1,1
Who is the coach of Ankara's ice hockey team?,"['http://dbpedia.org/ontology/city', 'http://dbpedia.org/ontology/league', 'http://dbpedia.org/ontology/coach']","['http://dbpedia.org/resource/Ankara', 'http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League']",['http://dbpedia.org/ontology/coach'],1,0.333333333,"['http://dbpedia.org/resource/Ankara', 'http://dbpedia.org/resource/Greece_national_ice_hockey_team']",0.5,0.5
Who is the mayor of the capital of French Polynesia?,"['http://dbpedia.org/ontology/capital', 'http://dbpedia.org/ontology/mayor']",['http://dbpedia.org/resource/French_Polynesia'],"['http://dbpedia.org/ontology/mayor', 'http://dbpedia.org/ontology/capital', 'http://dbpedia.org/ontology/country']",0.666666667,1,"['http://dbpedia.org/resource/France', 'http://dbpedia.org/resource/French_Polynesia']",0.5,1
Which awards did Douglas Hofstadter win?,['http://dbpedia.org/ontology/award'],['http://dbpedia.org/resource/Douglas_Hofstadter'],"['http://dbpedia.org/ontology/award', 'http://dbpedia.org/ontology/award']",0.5,1,['http://dbpedia.org/resource/Douglas_Hofstadter'],1,1
How much did the Lego Movie cost?,['http://dbpedia.org/ontology/budget'],['http://dbpedia.org/resource/The_Lego_Movie'],['http://dbpedia.org/ontology/budget'],1,1,['http://dbpedia.org/resource/The_Lego_Movie'],1,1
Where does Piccadilly start?,['http://dbpedia.org/ontology/routeStart'],['http://dbpedia.org/resource/Piccadilly'],['http://dbpedia.org/ontology/routeStart'],1,1,['http://dbpedia.org/resource/Piccadilly'],1,1
Do Prince Harry and Prince William have the same parents?,"['http://dbpedia.org/ontology/parent', 'http://dbpedia.org/ontology/parent']","['http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge', 'http://dbpedia.org/resource/Prince_Harry']",['http://dbpedia.org/ontology/parent'],1,0.5,"['http://dbpedia.org/resource/Prince_Harry', 'http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge']",1,1
Who played Agent Smith in Matrix?,['http://dbpedia.org/property/portrayer'],['http://dbpedia.org/resource/Agent_Smith'],['http://dbpedia.org/ontology/portrayer'],1,1,['http://dbpedia.org/resource/Agent_Smith'],1,1
How many languages are spoken in Turkmenistan?,['http://dbpedia.org/ontology/language'],['http://dbpedia.org/resource/Turkmenistan'],"['http://dbpedia.org/ontology/language', 'http://dbpedia.org/ontology/spokenIn']",0.5,1,['http://dbpedia.org/resource/Turkmenistan'],1,1
In which films did Julia Roberts as well as Richard Gere play?,"['http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/starring']","['http://dbpedia.org/resource/Julia_Roberts', 'http://dbpedia.org/resource/Richard_Gere']","['http://dbpedia.org/ontology/numberOfFilms', 'http://dbpedia.org/ontology/starring']",0.5,0.5,"['http://dbpedia.org/resource/Julia_Roberts', 'http://dbpedia.org/resource/Richard_Gere']",1,1
In which country does the Ganges start?,['http://dbpedia.org/ontology/sourceCountry'],['http://dbpedia.org/resource/Ganges'],"['http://dbpedia.org/ontology/country', 'http://dbpedia.org/ontology/source']",0,0,['http://dbpedia.org/resource/Ganges'],1,1
In which year was Rachel Stevens born?,['http://dbpedia.org/ontology/birthYear'],['http://dbpedia.org/resource/Rachel_Stevens'],['http://dbpedia.org/ontology/birthYear'],1,1,['http://dbpedia.org/resource/Rachel_Stevens'],1,1
Is Barack Obama a democrat?,['http://dbpedia.org/ontology/party'],"['http://dbpedia.org/resource/Barack_Obama', 'http://dbpedia.org/resource/Democratic_Party_(United_States)']",[],0,0,['http://dbpedia.org/resource/Barack_Obama'],1,0.5
Where was Bach born?,['http://dbpedia.org/ontology/birthPlace'],['http://dbpedia.org/resource/Johann_Sebastian_Bach'],['http://dbpedia.org/ontology/birthPlace'],1,1,['http://dbpedia.org/resource/Johann_Sebastian_Bach'],1,1
How often did Jane Fonda marry?,['http://dbpedia.org/ontology/spouse'],['http://dbpedia.org/resource/Jane_Fonda'],['http://dbpedia.org/ontology/spouse'],1,1,['http://dbpedia.org/resource/Jane_Fonda'],1,1
Who was the first to climb Mount Everest?,['http://dbpedia.org/ontology/firstAscentPerson'],['http://dbpedia.org/resource/Mount_Everest'],['http://dbpedia.org/ontology/board'],0,0,['http://dbpedia.org/resource/Mount_Everest'],1,1
How many people live in Poland?,['http://dbpedia.org/ontology/populationTotal'],['http://dbpedia.org/resource/Poland'],['http://dbpedia.org/ontology/residence'],0,0,['http://dbpedia.org/resource/Poland'],1,1
What is the location of the Houses of Parliament?,['http://dbpedia.org/ontology/location'],['http://dbpedia.org/resource/Palace_of_Westminster'],['http://dbpedia.org/ontology/location'],1,1,['http://dbpedia.org/resource/Palace_of_Westminster'],1,1
Is Christian Bale starring in Batman Begins?,['http://dbpedia.org/ontology/starring'],"['http://dbpedia.org/resource/Batman_Begins', 'http://dbpedia.org/resource/Christian_Bale']",['http://dbpedia.org/ontology/starring'],1,1,"['http://dbpedia.org/resource/Christian_Bale', 'http://dbpedia.org/resource/Batman_Begins']",1,1
In which country is the Limerick Lake?,['http://dbpedia.org/ontology/country'],['http://dbpedia.org/resource/Limerick_Lake'],['http://dbpedia.org/ontology/country'],1,1,['http://dbpedia.org/resource/Limerick_Lake'],1,1
What was the last movie with Alec Guinness?,"['http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/releaseDate']",['http://dbpedia.org/resource/Alec_Guinness'],['http://dbpedia.org/ontology/picture'],0,0,['http://dbpedia.org/resource/Alec_Guinness'],1,1
What is the highest mountain in Australia?,"['http://dbpedia.org/ontology/locatedInArea', 'http://dbpedia.org/ontology/elevation']",['http://dbpedia.org/resource/Australia'],['http://dbpedia.org/property/elevation'],1,0.5,['http://dbpedia.org/resource/Australia'],1,1
Is Frank Herbert still alive?,['http://dbpedia.org/ontology/deathDate'],['http://dbpedia.org/resource/Frank_Herbert'],['http://dbpedia.org/ontology/deathDate'],1,1,['http://dbpedia.org/resource/Frank_Herbert'],1,1
Who created Family Guy?,['http://dbpedia.org/ontology/creator'],['http://dbpedia.org/resource/Family_Guy'],['http://dbpedia.org/ontology/creator'],1,1,['http://dbpedia.org/resource/Family_Guy'],1,1
What is the official language of Suriname?,['http://dbpedia.org/ontology/officialLanguage'],['http://dbpedia.org/resource/Suriname'],['http://dbpedia.org/ontology/officialLanguage'],1,1,['http://dbpedia.org/resource/Suriname'],1,1
Who wrote the song Hotel California?,['http://dbpedia.org/ontology/writer'],['http://dbpedia.org/resource/Hotel_California'],['http://dbpedia.org/ontology/writer'],1,1,['http://dbpedia.org/resource/Hotel_California'],1,1
Give me all actors starring in movies directed by William Shatner.,"['http://dbpedia.org/ontology/director', 'http://dbpedia.org/ontology/starring']",['http://dbpedia.org/resource/William_Shatner'],"['http://dbpedia.org/ontology/artist', 'http://dbpedia.org/ontology/starring', 'http://dbpedia.org/ontology/film', 'http://dbpedia.org/property/directedby']",0.25,0.5,['http://dbpedia.org/resource/William_Shatner'],1,1
What is in a chocolate chip cookie?,['http://dbpedia.org/ontology/ingredient'],['http://dbpedia.org/resource/Chocolate_chip_cookie'],[],0,0,['http://dbpedia.org/resource/Chocolate_chip_cookie'],1,1
Give me all professional skateboarders from Sweden.,"['http://dbpedia.org/ontology/occupation', 'http://dbpedia.org/ontology/birthPlace', 'http://dbpedia.org/ontology/country']","['http://dbpedia.org/resource/Skateboarding', 'http://dbpedia.org/resource/Sweden', 'http://dbpedia.org/resource/Sweden']",['http://dbpedia.org/ontology/occupation'],1,0.333333333,['http://dbpedia.org/resource/Sweden'],1,0.333333333
Which ingredients do I need for carrot cake?,['http://dbpedia.org/ontology/ingredient'],['http://dbpedia.org/resource/Carrot_cake'],['http://dbpedia.org/ontology/ingredient'],1,1,"['http://dbpedia.org/resource/I', 'http://dbpedia.org/resource/Carrot_cake']",0.5,1
Does Neymar play for Real Madrid?,['http://dbpedia.org/ontology/team'],"['http://dbpedia.org/resource/Neymar', 'http://dbpedia.org/resource/Real_Madrid_C.F.']",['http://dbpedia.org/ontology/team'],1,1,"['http://dbpedia.org/resource/Neymar', 'http://dbpedia.org/resource/Jorge_Meré']",0.5,0.5
Which computer scientist won an oscar?,['http://dbpedia.org/ontology/field'],"['http://dbpedia.org/resource/Computer_science', 'http://dbpedia.org/resource/Academy_Awards']",['http://dbpedia.org/ontology/award'],0,0,"['http://dbpedia.org/resource/Computer_scientist', 'http://dbpedia.org/resource/Oscar']",0,0
How many companies were founded in the same year as Google?,"['http://dbpedia.org/ontology/foundingYear', 'http://dbpedia.org/ontology/foundingYear']",['http://dbpedia.org/resource/Google'],['http://dbpedia.org/ontology/foundingYear'],1,0.5,"['http://dbpedia.org/resource/Companies_listed_on_the_New_York_Stock_Exchange_(J)', 'http://dbpedia.org/resource/Google']",0.5,1
In which UK city are the headquarters of the MI6?,"['http://dbpedia.org/ontology/headquarter', 'http://dbpedia.org/ontology/country']","['http://dbpedia.org/resource/Secret_Intelligence_Service', 'http://dbpedia.org/resource/United_Kingdom']","['http://dbpedia.org/ontology/city', 'http://dbpedia.org/ontology/headquarter']",0.5,0.5,"['http://dbpedia.org/resource/United_Kingdom', 'http://dbpedia.org/resource/Secret_Intelligence_Service']",1,1
Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,"['http://dbpedia.org/ontology/date', 'http://dbpedia.org/ontology/date']","['http://dbpedia.org/resource/Cuban_Missile_Crisis', 'http://dbpedia.org/resource/Bay_of_Pigs_Invasion']","['http://dbpedia.org/ontology/date', 'http://dbpedia.org/ontology/country']",0.5,0.5,"['http://dbpedia.org/resource/Cuba', 'http://dbpedia.org/resource/Cuban_Missile_Crisis', 'http://dbpedia.org/resource/Bay_of_Pigs_Invasion']",0.666666667,1
What does IYCM stand for?,['http://dbpedia.org/ontology/abbreviation'],[],['http://dbpedia.org/ontology/position'],0,0,[],0,0
